tail_num,dep_delay,taxi_out,arr_delay,taxi_in
N932LR,13.14521841794569,16.98642266824085,10.92060212514758,7.731109799291618
N932NN,10.162381596752368,18.750563824988724,6.501578709968426,10.110058637798828
N932SW,17.38903887688985,21.281857451403887,15.480021598272138,7.991090712742981
N932WN,8.762345679012345,11.951566951566951,1.7856125356125356,5.177350427350428
N932XJ,8.89015949443274,21.708095094793862,1.7457117062894973,7.526632560938911
N93305,11.515409570154096,17.640713706407137,8.394160583941606,7.7822384428223845
N933AM,12.77360066833751,18.63324979114453,7.305346700083542,10.187552213868003
N933AN,12.770574712643677,18.83586206896552,8.453333333333333,10.184367816091955
N933AT,6.587734741784038,16.803403755868544,-1.0698356807511737,7.313380281690141
N933DL,9.759910246821242,16.164547494390426,3.68885564697083,6.804786836200448
N933DN,7.895381715362865,16.69934024505184,-0.41658812441093307,6.290292177191329
N933EV,13.065869853917663,20.46215139442231,10.302257636122178,8.143426294820717
N933JN,8.082729317670582,18.085228692826792,6.7923019245188705,8.882529367658085
N933LR,13.185109489051095,17.272408759124087,11.408759124087592,7.757956204379562
N933NN,9.655985758789496,18.87316421895861,5.461504227859368,10.177125055629729
N933WN,12.059669811320754,12.229245283018868,5.131132075471698,5.137028301886793
N933XJ,8.09079829372334,21.829372333942718,1.0764777574649604,7.681291895185862
N934AA,12.032957863996662,18.869837296620776,6.566958698372966,10.304964539007091
N934AN,13.35277516462841,19.006114769520227,9.106773283160866,10.137817497648166
N934AT,9.028472821397756,16.571757262007477,0.9746908254242163,7.209663503019844
N934DL,7.0,16.08407079646018,0.6891592920353983,6.982300884955753
N934DN,9.58893143056039,16.493212669683256,1.9968673860076576,6.67420814479638
N934FJ,13.00895255147717,17.128319904506117,10.738287078484035,7.523127424649358
N934JB,9.753948967193196,21.19198055893074,2.651275820170109,9.842041312272174
N934NN,9.50339827820571,18.674218396012687,5.573176257362936,10.099682827367467
N934SW,15.456328943832304,21.147003493684494,13.155603332437517,8.062348830959419
N934WN,10.651546871365435,12.352640148871831,3.9858106536403817,5.209351011863224
N934XJ,9.3691295243793,21.493568650912355,1.8208196230930302,7.576129225246785
N935AE,5.432958801498128,17.99176029962547,3.619725343320849,8.757553058676654
N935AN,10.994744386048733,19.269947443860488,7.286669851887243,10.10224558050645
N935AT,6.886056971514243,16.486356821589204,-1.4134932533733133,6.94752623688156
N935DL,7.858248957712925,16.28648004764741,2.3835616438356166,6.7927337701012505
N935DN,8.15472685639516,16.353614654890414,0.5024533856722276,6.679751390251881
N935JB,11.172141119221411,20.92883211678832,3.335766423357664,9.988442822384428
N935LR,15.158092848180678,16.934755332496863,12.787641154328734,7.669071518193225
N935NN,11.265734265734265,18.542657342657343,6.837296037296038,10.022377622377622
N935SW,9.743391188251001,18.21068090787717,3.4192256341789053,6.152202937249666
N935WN,9.557870894677237,12.066817667044168,2.7984144960362403,5.019026047565119
N935XJ,12.27584020291693,21.84020291693088,5.368103994927076,7.656309448319594
N936AN,11.81156015037594,19.05639097744361,7.902255639097745,9.961936090225564
N936AT,7.029135053110774,16.684977238239757,-0.7808801213960547,7.108649468892261
N936DL,5.49764705882353,16.044117647058822,-0.38588235294117645,6.6382352941176475
N936DN,9.944295302013423,16.418456375838925,2.1036912751677854,6.615436241610738
N936EV,9.257648953301127,18.492485238862052,3.5571658615136874,6.586956521739131
N936NN,9.502514860539552,18.653863740283494,5.4961133973479654,10.11111111111111
N936SW,8.527033855482568,18.763516927741282,3.1030823648307226,6.370389085396665
N936WN,10.69690576652602,12.1741678387248,3.8959212376933894,5.136427566807313
N936XJ,11.553945249597424,21.224476650563606,3.8563607085346217,7.58743961352657
N937AN,10.897765097479791,18.979077508321446,6.911079410366144,10.130765572990965
N937AT,6.053299492385787,16.91285956006768,-1.8883248730964468,7.290750141003948
N937DL,6.704735376044568,16.018384401114208,0.7192200557103064,6.797771587743733
N937DN,8.726415094339623,16.7063679245283,0.6933962264150944,6.3879716981132075
N937EV,14.437434827945777,20.938216892596454,12.15563086548488,8.056830031282587
N937JB,11.384210526315789,20.854385964912282,4.145029239766082,9.955555555555556
N937NN,11.20607787274454,18.578822412155745,7.021367521367521,10.154795821462487
N937SW,14.745364324889005,20.231130843562287,11.597806215722121,8.144946461217028
N937WN,10.886022514071295,12.253517823639775,4.356941838649155,5.322701688555347
N937XJ,13.013479623824452,21.734796238244513,6.211912225705329,7.352978056426332
N938AN,13.202481389578164,19.139950372208435,9.403473945409429,10.197518610421836
N938AT,6.835909631391201,16.864149821640904,-1.0422116527942924,7.29577883472057
N938DL,9.157785467128027,16.46020761245675,3.2664359861591694,6.771626297577854
N938DN,7.898643256185156,16.890662410215484,0.4581005586592179,6.485235434956105
N938FR,15.03021327014218,16.06872037914692,9.106042654028435,10.22037914691943
N938LR,14.936855267271023,17.286652078774615,13.161300406376993,7.857142857142857
N938NN,10.736569274269558,18.66870876531574,6.774269557021678,10.148444863336476
N938SW,11.73161086211442,20.287371473767465,8.75164777221197,7.950171368310045
N938UW,10.152834008097166,18.173076923076923,4.224696356275303,7.067813765182186
N938WN,9.957520891364902,12.250232126276694,3.083565459610028,5.094707520891365
N939AE,8.535167402024397,17.704645730599534,7.336101738904749,8.571762263171555
N939AN,13.578231292517007,19.11661807580175,9.620505344995141,9.898931000971817
N939AT,5.329102715466352,16.765643447461628,-2.7322904368358913,7.323494687131051
N939DL,9.63623395149786,16.061340941512125,3.3730385164051353,6.741084165477889
N939DN,8.065297138664711,16.250183418928835,0.22303741746148203,6.536316947909024
N939FR,12.4468787515006,16.00090036014406,6.247298919567827,10.426470588235293
N939LR,14.867633994669825,17.15575954989636,12.851347349718685,7.782055078472016
N939NN,11.949956101843723,18.938981562774362,8.535118525021948,10.461369622475855
N939SW,11.26525336091003,20.430972078593587,8.369700103412617,8.21018614270941
N939UW,12.845906902086677,18.07223113964687,6.091492776886035,6.885232744783306
N939WN,10.233690587138863,12.115330848089469,3.126514445479963,5.163560111835974
N9405T,6.869300911854103,16.462006079027354,2.346504559270517,8.617021276595745
N940AN,11.292434529582929,18.344810863239573,6.545101842870999,10.016488845780795
N940AT,7.714414144441115,16.79502547198082,-0.022175606832484266,7.25262211567276
N940DN,7.841811414392059,16.560794044665013,-0.4441687344913151,6.209057071960298
N940NN,10.91875,18.592410714285716,6.576339285714286,10.1625
N940WN,9.934055354993983,12.145126353790614,2.901564380264741,5.2074608904933815
N941AN,9.802842732691426,18.847776249426868,5.435121503897295,10.287024300779459
N941DL,6.891610987379361,16.00965107646622,0.512249443207127,6.793615441722346
N941DN,8.232667450058754,16.56227967097532,-0.4870740305522914,6.137485311398355
