origin_airport_id,fl_month,dep_delay,arr_delay,carrier_delay,nas_delay,late_aircraft_delay,weather_delay,security_delay,isWeather,isSecurity
10268,8,7.5,13.5,0.0,0.0,0.0,0.0,0.0,0.038461538461538464,0.0
10268,9,16.0,19.5,0.0,0.0,0.0,0.0,0.0,0.03125,0.0
10268,10,0.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10268,11,8.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10268,12,15.0,25.0,0.0,0.0,0.0,0.0,0.0,0.02702702702702703,0.0
10275,1,2.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10275,2,8.0,9.0,0.0,0.0,0.0,0.0,0.0,0.19607843137254902,0.0
10275,3,5.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10275,4,6.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10275,5,6.0,7.0,0.0,0.0,0.0,0.0,0.0,0.03389830508474576,0.0
10275,6,4.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10275,7,6.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10275,8,23.0,24.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10275,9,4.5,11.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10275,10,13.0,14.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10275,11,9.0,14.0,0.0,0.0,0.0,0.0,0.0,0.05454545454545454,0.0
10275,12,6.0,10.5,0.0,0.0,0.0,0.0,0.0,0.038461538461538464,0.01282051282051282
10279,1,5.0,9.0,0.0,0.0,0.0,0.0,0.0,0.009389671361502348,0.0
10279,2,9.0,13.0,0.0,0.0,0.0,0.0,0.0,0.02510460251046025,0.0
10279,3,6.5,12.0,0.0,0.0,0.0,0.0,0.0,0.004201680672268907,0.0
10279,4,7.0,9.0,0.0,0.0,0.0,0.0,0.0,0.015503875968992248,0.0
10279,5,14.0,16.0,0.0,0.0,0.0,0.0,0.0,0.010752688172043012,0.0
10279,6,11.5,11.0,0.0,0.0,0.0,0.0,0.0,0.014814814814814815,0.0
10279,7,11.0,12.0,0.0,0.0,0.0,0.0,0.0,0.028070175438596492,0.0
10279,8,9.0,9.0,0.0,0.0,0.0,0.0,0.0,0.04150943396226415,0.0
10279,9,12.0,17.0,0.0,0.0,0.0,0.0,0.0,0.009389671361502348,0.0
10279,10,12.0,16.0,0.0,0.0,0.0,0.0,0.0,0.01910828025477707,0.009554140127388535
