dest_airport_id,fl_month,arr_delay,carrier_delay,nas_delay,late_aircraft_delay,weather_delay,security_delay,isWeather,isSecurity
10275,5,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10275,6,-5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10275,7,11.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10275,8,18.5,0.0,0.0,0.0,0.0,0.0,0.16666666666666666,0.0
10275,9,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10275,10,41.0,0.0,0.0,43.5,0.0,0.0,0.0,0.0
10275,11,-8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10275,12,13.0,3.5,0.0,8.5,0.0,0.0,0.0,0.0
10279,1,27.0,0.0,0.0,0.0,0.0,0.0,0.043478260869565216,0.0
10279,2,24.0,0.0,0.0,0.0,0.0,0.0,0.058823529411764705,0.0
10279,3,18.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10279,4,14.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10279,5,12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10279,6,18.5,0.0,0.0,0.0,0.0,0.0,0.027777777777777776,0.0
10279,7,20.5,0.0,0.0,0.0,0.0,0.0,0.1111111111111111,0.0
10279,8,11.5,0.0,0.0,0.0,0.0,0.0,0.1,0.0
10279,9,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10279,10,10.0,0.0,0.0,0.0,0.0,0.0,0.06451612903225806,0.0
10279,11,16.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10279,12,22.0,0.0,0.0,0.0,0.0,0.0,0.04,0.0
10299,1,3.0,0.0,0.0,0.0,0.0,0.0,0.01639344262295082,0.0
10299,2,9.0,0.0,0.0,0.0,0.0,0.0,0.025974025974025976,0.0
10299,3,13.0,0.0,0.0,0.0,0.0,0.0,0.014492753623188406,0.0
10299,4,6.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10299,5,5.0,0.0,0.0,0.0,0.0,0.0,0.0125,0.0
10299,6,5.0,0.0,0.0,0.0,0.0,0.0,0.0078125,0.0
10299,7,5.5,0.0,0.0,0.0,0.0,0.0,0.022388059701492536,0.007462686567164179
10299,8,11.0,0.0,0.0,0.0,0.0,0.0,0.012269938650306749,0.012269938650306749
10299,9,8.0,0.0,0.0,0.0,0.0,0.0,0.010869565217391304,0.010869565217391304
10299,10,7.5,0.0,0.0,0.0,0.0,0.0,0.0,0.029411764705882353
10299,11,8.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10299,12,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.011494252873563218
10333,1,1.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10333,3,21.0,5.0,7.0,9.0,0.0,0.0,0.0,0.0
10333,4,31.0,0.0,1.0,29.5,0.0,0.0,0.0,0.0
10333,5,-4.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10333,6,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10333,8,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10333,9,30.0,0.0,0.0,28.0,0.0,0.0,0.0,0.0
10333,10,87.0,0.0,0.0,0.0,87.0,0.0,1.0,0.0
10333,11,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10361,1,15.0,0.0,0.0,0.0,0.0,0.0,0.3333333333333333,0.0
10361,2,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10361,3,10.5,0.0,7.5,0.0,0.0,0.0,0.0,0.0
10361,4,13.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0
10361,5,25.5,21.0,0.5,0.0,0.0,0.0,0.0,0.0
10361,6,14.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10361,7,33.0,0.0,8.0,22.0,0.0,0.0,0.0,0.0
10361,8,17.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0
