tail_num,dep_delay,arr_delay,isCraft,isCarrier
N140AN,9.0,9.0,0.14564220183486237,0.7270642201834863
N140LL,9.0,3.0,0.07532467532467532,0.8597402597402597
N140SY,7.0,13.0,0.16580844490216273,0.627188465499485
N14102,8.0,13.0,0.11842105263157894,0.6557017543859649
N14105,11.0,17.0,0.18253968253968253,0.5886243386243386
N14106,9.0,11.0,0.12751677852348994,0.6890380313199105
N14107,10.0,14.0,0.15816326530612246,0.6403061224489796
N14115,9.0,11.0,0.14823529411764705,0.6094117647058823
N14116,18.0,24.0,0.2798573975044563,0.5543672014260249
N14117,13.0,20.0,0.2405431619786615,0.574199806013579
N14118,8.0,13.0,0.1388888888888889,0.6550925925925926
N14120,11.0,14.0,0.1383495145631068,0.6092233009708737
N14121,14.0,15.0,0.15445544554455445,0.6356435643564357
N14125,19.0,24.0,0.2711864406779661,0.5575379125780553
N14143,26.0,28.0,0.2571669477234401,0.5059021922428331
N14148,16.0,21.0,0.21228304405874499,0.527369826435247
N14153,19.0,24.0,0.25440313111545987,0.5851272015655578
N14158,14.0,19.0,0.17103235747303544,0.5839753466872111
N14162,25.0,26.0,0.2555228276877761,0.5228276877761414
N14168,26.0,29.0,0.2728146013448607,0.4668587896253602
N14171,25.0,27.0,0.24664879356568364,0.4959785522788204
N14173,20.0,23.0,0.23195380173243504,0.5216554379210779
N14174,20.0,25.0,0.24925816023738873,0.5272007912957468
N14177,24.0,26.0,0.2494592645998558,0.4852198990627253
N14179,22.5,27.0,0.250390015600624,0.5031201248049922
N14180,15.0,22.0,0.16535433070866143,0.5464566929133858
N14186,21.0,25.0,0.23278688524590163,0.5081967213114754
N14188,9.0,17.0,0.17487266553480477,0.5721561969439728
N14198,25.5,28.0,0.2650231124807396,0.48921417565485364
N141NN,12.0,12.0,0.1569459172852598,0.694591728525981
N141SY,7.0,12.0,0.14314928425357873,0.679959100204499
N14203,15.0,20.0,0.17209302325581396,0.5472868217054263
N14204,24.0,27.0,0.26490566037735847,0.49433962264150944
N14214,12.0,14.0,0.19254658385093168,0.610248447204969
N14219,11.0,13.0,0.182370820668693,0.6337386018237082
N14228,10.0,13.0,0.14754098360655737,0.6484517304189436
N14230,11.0,13.5,0.17777777777777778,0.6111111111111112
N14231,8.5,11.5,0.19381107491856678,0.6351791530944625
N14235,12.0,15.0,0.205685618729097,0.5635451505016722
N14237,9.0,13.0,0.17656765676567657,0.6089108910891089
