origin_airport_id,fl_month,dep_delay,arr_delay,carrier_delay,nas_delay,late_aircraft_delay,weather_delay,security_delay
11695,3,-6.0,-9.0,0.0,0.0,0.0,0.0,0.0
11695,4,-7.0,-9.0,0.0,0.0,0.0,0.0,0.0
11695,5,-6.0,-10.0,0.0,0.0,0.0,0.0,0.0
11695,6,-8.0,-13.0,0.0,0.0,0.0,0.0,0.0
11695,7,-8.0,-13.0,0.0,0.0,0.0,0.0,0.0
11695,8,-8.0,-14.0,0.0,0.0,0.0,0.0,0.0
11695,9,-7.0,-14.0,0.0,0.0,0.0,0.0,0.0
11695,10,-6.0,-10.0,0.0,0.0,0.0,0.0,0.0
11695,11,-7.0,-12.0,0.0,0.0,0.0,0.0,0.0
11695,12,-6.0,-8.0,0.0,0.0,0.0,0.0,0.0
11697,1,-1.0,-7.0,0.0,0.0,0.0,0.0,0.0
11697,2,-2.0,-6.0,0.0,0.0,0.0,0.0,0.0
11697,3,-1.0,-3.5,0.0,0.0,0.0,0.0,0.0
11697,4,-1.0,-5.0,0.0,0.0,0.0,0.0,0.0
11697,5,-1.0,-5.0,0.0,0.0,0.0,0.0,0.0
11697,6,-1.0,-1.0,0.0,0.0,0.0,0.0,0.0
11697,7,0.0,-3.0,0.0,0.0,0.0,0.0,0.0
11697,8,0.0,-2.0,0.0,0.0,0.0,0.0,0.0
11697,9,-4.0,-9.0,0.0,0.0,0.0,0.0,0.0
11697,10,-3.0,-8.0,0.0,0.0,0.0,0.0,0.0
11697,11,-2.0,-6.0,0.0,0.0,0.0,0.0,0.0
11697,12,-1.0,-4.0,0.0,0.0,0.0,0.0,0.0
11699,1,-5.0,-8.0,0.0,0.0,0.0,0.0,0.0
11699,2,-4.0,-6.0,0.0,0.0,0.0,0.0,0.0
11699,3,-3.5,-2.0,0.0,0.0,0.0,0.0,0.0
11699,4,-2.0,-4.0,0.0,0.0,0.0,0.0,0.0
11699,5,-5.0,-10.0,0.0,0.0,0.0,0.0,0.0
11699,6,-3.0,-9.0,0.0,0.0,0.0,0.0,0.0
11699,7,-2.0,-8.0,0.0,0.0,0.0,0.0,0.0
11699,8,-4.0,-7.0,0.0,0.0,0.0,0.0,0.0
11699,9,-5.0,-6.0,0.0,0.0,0.0,0.0,0.0
11699,10,-6.0,-8.0,0.0,0.0,0.0,0.0,0.0
11699,11,-4.0,-9.0,0.0,0.0,0.0,0.0,0.0
11699,12,-4.0,-10.0,0.0,0.0,0.0,0.0,0.0
11721,1,-3.0,-7.0,0.0,0.0,0.0,0.0,0.0
11721,2,-3.0,-6.0,0.0,0.0,0.0,0.0,0.0
11721,3,-5.0,-11.0,0.0,0.0,0.0,0.0,0.0
11721,4,-5.0,-10.0,0.0,0.0,0.0,0.0,0.0
11721,5,-5.0,-9.0,0.0,0.0,0.0,0.0,0.0
11721,6,-4.0,-7.0,0.0,0.0,0.0,0.0,0.0
11721,7,-5.0,-9.0,0.0,0.0,0.0,0.0,0.0
11721,8,-5.0,-8.0,0.0,0.0,0.0,0.0,0.0
11721,9,-6.0,-9.0,0.0,0.0,0.0,0.0,0.0
11721,10,-5.0,-7.0,0.0,0.0,0.0,0.0,0.0
11721,11,-5.0,-7.0,0.0,0.0,0.0,0.0,0.0
11721,12,-4.0,-8.5,0.0,0.0,0.0,0.0,0.0
11775,1,-3.0,-8.0,0.0,0.0,0.0,0.0,0.0
11775,2,-2.0,1.0,0.0,0.0,0.0,0.0,0.0
11775,3,-5.0,-7.0,0.0,0.0,0.0,0.0,0.0
11775,4,-5.0,-8.0,0.0,0.0,0.0,0.0,0.0
11775,5,-4.0,-6.0,0.0,0.0,0.0,0.0,0.0
11775,6,-4.0,-4.0,0.0,0.0,0.0,0.0,0.0
11775,7,-4.0,-7.0,0.0,0.0,0.0,0.0,0.0
11775,8,-4.0,-6.0,0.0,0.0,0.0,0.0,0.0
11775,9,-5.0,-10.0,0.0,0.0,0.0,0.0,0.0
11775,10,-4.0,-5.0,0.0,0.0,0.0,0.0,0.0
11775,11,-3.0,-6.0,0.0,0.0,0.0,0.0,0.0
11775,12,-2.0,-3.0,0.0,0.0,0.0,0.0,0.0
11778,1,-7.0,-11.0,0.0,0.0,0.0,0.0,0.0
11778,2,-6.0,-7.0,0.0,0.0,0.0,0.0,0.0
11778,3,-7.0,-9.0,0.0,0.0,0.0,0.0,0.0
11778,4,-5.0,-11.0,0.0,0.0,0.0,0.0,0.0
11778,5,-5.0,-10.0,0.0,0.0,0.0,0.0,0.0
11778,6,-4.0,-7.0,0.0,0.0,0.0,0.0,0.0
11778,7,-4.0,-7.0,0.0,0.0,0.0,0.0,0.0
11778,8,-5.0,-8.0,0.0,0.0,0.0,0.0,0.0
11778,9,-5.0,-8.5,0.0,0.0,0.0,0.0,0.0
11778,10,-4.0,-2.5,0.0,0.0,0.0,0.0,0.0
11778,11,-5.0,-3.0,0.0,0.0,0.0,0.0,0.0
11778,12,-4.0,-6.0,0.0,0.0,0.0,0.0,0.0
11823,1,-3.0,-3.0,0.0,0.0,0.0,0.0,0.0
11823,2,-4.0,-5.0,0.0,0.0,0.0,0.0,0.0
11823,3,-4.0,-8.0,0.0,0.0,0.0,0.0,0.0
11823,4,-5.0,-8.0,0.0,0.0,0.0,0.0,0.0
11823,5,-4.0,-9.0,0.0,0.0,0.0,0.0,0.0
11823,6,-3.0,-6.0,0.0,0.0,0.0,0.0,0.0
11823,7,-4.0,-10.0,0.0,0.0,0.0,0.0,0.0
11823,8,-4.0,-8.0,0.0,0.0,0.0,0.0,0.0
11823,9,-4.0,-10.0,0.0,0.0,0.0,0.0,0.0
11823,10,-4.0,-8.0,0.0,0.0,0.0,0.0,0.0
11823,11,-4.0,-9.0,0.0,0.0,0.0,0.0,0.0
11823,12,-3.0,-10.0,0.0,0.0,0.0,0.0,0.0
11865,1,-7.0,-9.0,0.0,0.0,0.0,0.0,0.0
11865,2,-6.0,0.5,0.0,0.0,0.0,0.0,0.0
11865,3,-10.0,-8.0,0.0,0.0,0.0,0.0,0.0
11865,4,-10.0,-13.0,0.0,0.0,0.0,0.0,0.0
11865,5,-8.0,-7.0,0.0,0.0,0.0,0.0,0.0
11865,6,-6.0,-1.0,0.0,0.0,0.0,0.0,0.0
11865,7,-6.0,-3.0,0.0,0.0,0.0,0.0,0.0
11865,8,-7.0,-4.5,0.0,0.0,0.0,0.0,0.0
11865,9,-7.0,-12.0,0.0,0.0,0.0,0.0,0.0
11865,10,-6.0,-5.0,0.0,0.0,0.0,0.0,0.0
11865,11,-5.0,-10.5,0.0,0.0,0.0,0.0,0.0
11865,12,-7.0,-10.0,0.0,0.0,0.0,0.0,0.0
11867,1,-4.0,-9.0,0.0,0.0,0.0,0.0,0.0
11867,2,-2.0,-2.0,0.0,0.0,0.0,0.0,0.0
11867,3,-5.0,-10.0,0.0,0.0,0.0,0.0,0.0
11867,4,-5.0,-10.0,0.0,0.0,0.0,0.0,0.0
11867,5,-4.0,-8.0,0.0,0.0,0.0,0.0,0.0
11867,6,-3.0,-7.0,0.0,0.0,0.0,0.0,0.0
11867,7,-3.0,-4.0,0.0,0.0,0.0,0.0,0.0
11867,8,-4.0,-6.0,0.0,0.0,0.0,0.0,0.0
11867,9,-5.0,-11.0,0.0,0.0,0.0,0.0,0.0
11867,10,-4.0,-9.0,0.0,0.0,0.0,0.0,0.0
11867,11,-2.0,1.0,0.0,0.0,0.0,0.0,0.0
11867,12,-3.0,-3.0,0.0,0.0,0.0,0.0,0.0
11884,1,-4.0,-10.0,0.0,0.0,0.0,0.0,0.0
11884,2,-3.0,-5.0,0.0,0.0,0.0,0.0,0.0
11884,3,-4.0,-6.0,0.0,0.0,0.0,0.0,0.0
11884,4,-5.0,-8.0,0.0,0.0,0.0,0.0,0.0
11884,5,-5.0,-8.0,0.0,0.0,0.0,0.0,0.0
11884,6,-4.0,-6.0,0.0,0.0,0.0,0.0,0.0
11884,7,-4.0,-6.0,0.0,0.0,0.0,0.0,0.0
11884,8,-3.0,-5.0,0.0,0.0,0.0,0.0,0.0
