dest_airport_id,fl_month,arr_delay,carrier_delay,nas_delay,late_aircraft_delay,weather_delay,security_delay
11648,2,-4.0,0.0,0.0,0.0,0.0,0.0
11648,3,-9.0,0.0,0.0,0.0,0.0,0.0
11648,4,-8.0,0.0,0.0,0.0,0.0,0.0
11648,5,-7.0,0.0,0.0,0.0,0.0,0.0
11648,6,-4.0,0.0,0.0,0.0,0.0,0.0
11648,7,-6.0,0.0,0.0,0.0,0.0,0.0
11648,8,-5.0,0.0,0.0,0.0,0.0,0.0
11648,9,-8.0,0.0,0.0,0.0,0.0,0.0
11648,10,-8.0,0.0,0.0,0.0,0.0,0.0
11648,11,-7.0,0.0,0.0,0.0,0.0,0.0
11648,12,-7.0,0.0,0.0,0.0,0.0,0.0
11695,1,-7.0,0.0,0.0,0.0,0.0,0.0
11695,2,-1.0,0.0,0.0,0.0,0.0,0.0
11695,3,-3.0,0.0,0.0,0.0,0.0,0.0
11695,4,-8.0,0.0,0.0,0.0,0.0,0.0
11695,5,-7.0,0.0,0.0,0.0,0.0,0.0
11695,6,-7.0,0.0,0.0,0.0,0.0,0.0
11695,7,-8.0,0.0,0.0,0.0,0.0,0.0
11695,8,-7.0,0.0,0.0,0.0,0.0,0.0
11695,9,-9.0,0.0,0.0,0.0,0.0,0.0
11695,10,-6.0,0.0,0.0,0.0,0.0,0.0
11695,11,-6.0,0.0,0.0,0.0,0.0,0.0
11695,12,-5.0,0.0,0.0,0.0,0.0,0.0
11697,1,-5.0,0.0,0.0,0.0,0.0,0.0
11697,2,-7.0,0.0,0.0,0.0,0.0,0.0
11697,3,-7.0,0.0,0.0,0.0,0.0,0.0
11697,4,-6.0,0.0,0.0,0.0,0.0,0.0
11697,5,-4.0,0.0,0.0,0.0,0.0,0.0
11697,6,-3.0,0.0,0.0,0.0,0.0,0.0
11697,7,-2.0,0.0,0.0,0.0,0.0,0.0
11697,8,-3.0,0.0,0.0,0.0,0.0,0.0
11697,9,-9.0,0.0,0.0,0.0,0.0,0.0
11697,10,-7.0,0.0,0.0,0.0,0.0,0.0
11697,11,-5.0,0.0,0.0,0.0,0.0,0.0
11697,12,-2.0,0.0,0.0,0.0,0.0,0.0
11699,1,-4.0,0.0,0.0,0.0,0.0,0.0
11699,2,-6.0,0.0,0.0,0.0,0.0,0.0
11699,3,-5.0,0.0,0.0,0.0,0.0,0.0
11699,4,-2.0,0.0,0.0,0.0,0.0,0.0
11699,5,-5.0,0.0,0.0,0.0,0.0,0.0
11699,6,-4.0,0.0,0.0,0.0,0.0,0.0
11699,7,-1.0,0.0,0.0,0.0,0.0,0.0
11699,8,-3.0,0.0,0.0,0.0,0.0,0.0
11699,9,-4.0,0.0,0.0,0.0,0.0,0.0
11699,10,-4.0,0.0,0.0,0.0,0.0,0.0
11699,11,-5.0,0.0,0.0,0.0,0.0,0.0
11699,12,-4.0,0.0,0.0,0.0,0.0,0.0
11721,1,-4.0,0.0,0.0,0.0,0.0,0.0
11721,2,-7.0,0.0,0.0,0.0,0.0,0.0
11721,3,-6.0,0.0,0.0,0.0,0.0,0.0
11721,4,-7.0,0.0,0.0,0.0,0.0,0.0
11721,5,-4.0,0.0,0.0,0.0,0.0,0.0
11721,6,-3.0,0.0,0.0,0.0,0.0,0.0
11721,7,-5.0,0.0,0.0,0.0,0.0,0.0
11721,8,-6.0,0.0,0.0,0.0,0.0,0.0
11721,9,-7.0,0.0,0.0,0.0,0.0,0.0
11721,10,-7.0,0.0,0.0,0.0,0.0,0.0
11721,11,-7.0,0.0,0.0,0.0,0.0,0.0
11721,12,-6.0,0.0,0.0,0.0,0.0,0.0
11775,1,-6.0,0.0,0.0,0.0,0.0,0.0
11775,2,-4.0,0.0,0.0,0.0,0.0,0.0
11775,3,-7.0,0.0,0.0,0.0,0.0,0.0
11775,4,-6.0,0.0,0.0,0.0,0.0,0.0
11775,5,-5.0,0.0,0.0,0.0,0.0,0.0
11775,6,-2.0,0.0,0.0,0.0,0.0,0.0
11775,7,-4.0,0.0,0.0,0.0,0.0,0.0
11775,8,-4.0,0.0,0.0,0.0,0.0,0.0
11775,9,-8.0,0.0,0.0,0.0,0.0,0.0
11775,10,-6.0,0.0,0.0,0.0,0.0,0.0
11775,11,-4.0,0.0,0.0,0.0,0.0,0.0
11775,12,-5.0,0.0,0.0,0.0,0.0,0.0
11778,1,-6.0,0.0,0.0,0.0,0.0,0.0
11778,2,-4.0,0.0,0.0,0.0,0.0,0.0
11778,3,-5.0,0.0,0.0,0.0,0.0,0.0
11778,4,-6.0,0.0,0.0,0.0,0.0,0.0
11778,5,-6.0,0.0,0.0,0.0,0.0,0.0
11778,6,-1.0,0.0,0.0,0.0,0.0,0.0
11778,7,-1.0,0.0,0.0,0.0,0.0,0.0
11778,8,-4.0,0.0,0.0,0.0,0.0,0.0
11778,9,-6.0,0.0,0.0,0.0,0.0,0.0
11778,10,-2.0,0.0,0.0,0.0,0.0,0.0
11778,11,-5.0,0.0,0.0,0.0,0.0,0.0
11778,12,-6.0,0.0,0.0,0.0,0.0,0.0
11823,1,-3.0,0.0,0.0,0.0,0.0,0.0
11823,2,-5.0,0.0,0.0,0.0,0.0,0.0
11823,3,-7.0,0.0,0.0,0.0,0.0,0.0
11823,4,-7.0,0.0,0.0,0.0,0.0,0.0
11823,5,-7.0,0.0,0.0,0.0,0.0,0.0
11823,6,-3.0,0.0,0.0,0.0,0.0,0.0
11823,7,-5.0,0.0,0.0,0.0,0.0,0.0
11823,8,-6.0,0.0,0.0,0.0,0.0,0.0
11823,9,-9.0,0.0,0.0,0.0,0.0,0.0
11823,10,-7.0,0.0,0.0,0.0,0.0,0.0
11823,11,-8.0,0.0,0.0,0.0,0.0,0.0
11823,12,-9.0,0.0,0.0,0.0,0.0,0.0
11865,1,-8.5,0.0,0.0,0.0,0.0,0.0
11865,2,-7.0,0.0,0.0,0.0,0.0,0.0
11865,3,-9.0,0.0,0.0,0.0,0.0,0.0
11865,4,-9.0,0.0,0.0,0.0,0.0,0.0
11865,5,-6.0,0.0,0.0,0.0,0.0,0.0
11865,6,-1.0,0.0,0.0,0.0,0.0,0.0
11865,7,-2.0,0.0,0.0,0.0,0.0,0.0
11865,8,-5.0,0.0,0.0,0.0,0.0,0.0
11865,9,-12.0,0.0,0.0,0.0,0.0,0.0
11865,10,-8.0,0.0,0.0,0.0,0.0,0.0
11865,11,-5.0,0.0,0.0,0.0,0.0,0.0
11865,12,-10.0,0.0,0.0,0.0,0.0,0.0
11867,1,-6.0,0.0,0.0,0.0,0.0,0.0
11867,2,-4.0,0.0,0.0,0.0,0.0,0.0
11867,3,-4.0,0.0,0.0,0.0,0.0,0.0
11867,4,-7.0,0.0,0.0,0.0,0.0,0.0
11867,5,-5.0,0.0,0.0,0.0,0.0,0.0
11867,6,-1.0,0.0,0.0,0.0,0.0,0.0
11867,7,-1.0,0.0,0.0,0.0,0.0,0.0
11867,8,-3.0,0.0,0.0,0.0,0.0,0.0
11867,9,-9.0,0.0,0.0,0.0,0.0,0.0
11867,10,-6.0,0.0,0.0,0.0,0.0,0.0
11867,11,-5.0,0.0,0.0,0.0,0.0,0.0
11867,12,-8.0,0.0,0.0,0.0,0.0,0.0
11884,1,-6.0,0.0,0.0,0.0,0.0,0.0
11884,2,-1.0,0.0,0.0,0.0,0.0,0.0
11884,3,-5.0,0.0,0.0,0.0,0.0,0.0
11884,4,-5.0,0.0,0.0,0.0,0.0,0.0
11884,5,-5.0,0.0,0.0,0.0,0.0,0.0
11884,6,-3.0,0.0,0.0,0.0,0.0,0.0
11884,7,-5.0,0.0,0.0,0.0,0.0,0.0
11884,8,-3.0,0.0,0.0,0.0,0.0,0.0
11884,9,-7.0,0.0,0.0,0.0,0.0,0.0
11884,10,-5.0,0.0,0.0,0.0,0.0,0.0
11884,11,-5.0,0.0,0.0,0.0,0.0,0.0
11884,12,-4.0,0.0,0.0,0.0,0.0,0.0
11898,1,-16.0,0.0,0.0,0.0,0.0,0.0
11898,2,-11.5,0.0,0.0,0.0,0.0,0.0
11898,3,-7.0,0.0,0.0,0.0,0.0,0.0
11898,4,-7.0,0.0,0.0,0.0,0.0,0.0
11898,5,-8.0,0.0,0.0,0.0,0.0,0.0
11898,6,-10.0,0.0,0.0,0.0,0.0,0.0
11898,7,-10.0,0.0,0.0,0.0,0.0,0.0
11898,8,-11.0,0.0,0.0,0.0,0.0,0.0
11898,9,-8.5,0.0,0.0,0.0,0.0,0.0
11898,10,-11.0,0.0,0.0,0.0,0.0,0.0
11898,11,-13.0,0.0,0.0,0.0,0.0,0.0
11898,12,-14.0,0.0,0.0,0.0,0.0,0.0
11905,1,-2.0,0.0,0.0,0.0,0.0,0.0
11905,2,-2.0,0.0,0.0,0.0,0.0,0.0
11905,3,-5.0,0.0,0.0,0.0,0.0,0.0
11905,4,-7.0,0.0,0.0,0.0,0.0,0.0
